caldt,vwretd,ewretd
19840731,-0.020621,-0.050303
19840831,0.112689,0.088817
19840928,0.000404,-0.000377
19841031,-0.000074,-0.023756
19841130,-0.010685,-0.031506
19841231,0.023656,0.002732
19850131,0.085718,0.121475
19850228,0.016896,0.046034
19850329,-0.001747,-0.003581
19850430,-0.002186,-0.009652
19850531,0.055775,0.022221
19850628,0.017091,0.002103
19850731,-0.000251,0.021382
19850830,-0.004795,-0.002214
19850930,-0.039825,-0.056859
19851031,0.044441,0.017652
19851129,0.069228,0.052563
19851231,0.043061,0.028021
19860131,0.009829,0.044071
19860228,0.0725,0.060381
19860331,0.053885,0.047192
19860430,-0.0079,0.016144
19860530,0.050844,0.036194
19860630,0.014246,0.008087
19860731,-0.0597,-0.073128
19860829,0.066181,0.023269
19860930,-0.079021,-0.059071
19861031,0.049303,0.023777
19861128,0.015093,-0.006263
19861231,-0.026388,-0.034609
19870130,0.128496,0.117565
19870227,0.047918,0.074612
19870331,0.023664,0.036283
19870430,-0.017001,-0.017709
19870529,0.005125,0.000573
19870630,0.043662,0.021487
19870731,0.044248,0.035123
19870831,0.037146,0.014544
19870930,-0.020774,-0.015876
19871030,-0.225363,-0.272248
19871130,-0.072273,-0.05085
19871231,0.070327,0.026065
19880129,0.04488,0.077392
19880229,0.051695,0.060265
19880331,-0.016598,0.03569
19880429,0.010991,0.014016
19880531,0.000448,-0.017671
19880630,0.05146,0.047677
19880729,-0.007272,0.000289
19880831,-0.028006,-0.025001
19880930,0.037202,0.016951
19881031,0.017637,-0.011485
19881130,-0.016412,-0.036484
19881230,0.021075,0.018872
19890131,0.066103,0.062124
19890228,-0.016446,0.002988
19890331,0.021465,0.01806
19890428,0.048204,0.029089
19890531,0.039338,0.025054
19890630,-0.004866,-0.007744
19890731,0.077131,0.031017
19890831,0.022127,0.018626
19890929,-0.001474,0.005532
19891031,-0.029281,-0.049934
19891130,0.017815,-0.0058
19891229,0.018295,-0.012375
19900131,-0.070115,-0.046408
19900228,0.014901,0.015434
19900330,0.02414,0.021315
19900430,-0.028286,-0.028117
19900531,0.088936,0.045675
19900629,-0.004196,0.005359
19900731,-0.009405,-0.025732
19900831,-0.091896,-0.108911
19900928,-0.053843,-0.080468
19901031,-0.012504,-0.057155
19901130,0.065744,0.035468
19901231,0.029513,-0.004526
19910131,0.049078,0.084175
19910228,0.075847,0.133898
19910328,0.028923,0.078293
19910430,0.003322,0.031962
19910531,0.040732,0.031385
19910628,-0.044029,-0.031773
19910731,0.046795,0.034202
19910830,0.026819,0.027507
19910930,-0.010975,0.00813
19911031,0.017789,0.024639
19911129,-0.037275,-0.023735
19911231,0.106778,0.035353
19920131,-0.001182,0.14997
19920228,0.013354,0.052124
19920331,-0.0237,-0.014169
19920430,0.013419,-0.033262
19920529,0.006439,0.005678
19920630,-0.019287,-0.039215
19920731,0.0399,0.027617
19920831,-0.02082,-0.0239
19920930,0.012447,0.01105
19921030,0.010986,0.016224
19921130,0.040193,0.066686
19921231,0.017768,0.035677
19930129,0.012643,0.067612
19930226,0.005402,-0.007198
19930331,0.025116,0.031465
19930430,-0.0254,-0.011112
19930528,0.029598,0.03874
19930630,0.00544,0.013419
19930730,-0.000795,0.013719
19930831,0.039479,0.039698
19930930,0.000641,0.025507
19931029,0.018064,0.040518
19931130,-0.017606,-0.024467
19931231,0.019513,0.01619
19940131,0.031466,0.049166
19940228,-0.024224,-0.009952
19940331,-0.045795,-0.045962
19940429,0.009478,-0.011728
19940531,0.00936,-0.000831
19940630,-0.027909,-0.028182
19940729,0.030633,0.015778
19940831,0.042597,0.036756
19940930,-0.018363,0.004865
19941031,0.01452,-0.003305
19941130,-0.037219,-0.040741
19941230,0.012609,-0.013424
19950131,0.020399,0.02786
19950228,0.039615,0.028369
19950331,0.027041,0.019518
19950428,0.025048,0.026976
19950531,0.034007,0.02027
19950630,0.031173,0.049917
19950731,0.040783,0.054708
19950831,0.009305,0.032043
19950929,0.036362,0.0264
19951031,-0.011317,-0.041473
19951130,0.042708,0.016659
19951229,0.01519,0.008928
19960131,0.028144,0.034657
19960229,0.01631,0.032305
19960329,0.010927,0.024086
19960430,0.025511,0.058049
19960531,0.0268,0.062615
19960628,-0.008298,-0.032167
19960731,-0.053819,-0.079602
19960830,0.032463,0.045634
19960930,0.053035,0.028753
19961031,0.013739,-0.020842
19961129,0.065569,0.024696
19961231,-0.011388,-0.002604
19970131,0.053473,0.063831
19970228,-0.001122,-0.010299
19970331,-0.044868,-0.049224
19970430,0.042373,-0.021596
19970530,0.071624,0.085194
19970630,0.044095,0.043145
19970731,0.076514,0.048824
19970829,-0.03629,0.027605
19970930,0.058499,0.081737
19971031,-0.034436,-0.026145
19971128,0.030404,-0.022063
19971231,0.017817,-0.023875
19980130,0.004502,0.015367
19980227,0.073303,0.060451
19980331,0.051301,0.046884
19980430,0.010903,0.023243
19980529,-0.025748,-0.042571
19980630,0.031944,-0.02915
19980731,-0.023367,-0.050546
19980831,-0.157839,-0.196383
19980930,0.063827,0.043248
19981030,0.074393,0.037827
19981130,0.062024,0.075912
19981231,0.063051,0.018861
19990129,0.038456,0.064848
19990226,-0.038085,-0.042172
19990331,0.037932,-0.001373
19990430,0.049105,0.0839
19990528,-0.020708,0.025134
19990630,0.05082,0.038391
19990730,-0.030716,0.007271
19990831,-0.009987,-0.030607
19990930,-0.022846,-0.01425
19991029,0.062147,-0.001351
19991130,0.036822,0.091409
19991231,0.083758,0.08483
20000131,-0.039612,0.05061
20000229,0.031777,0.120436
20000331,0.0535,-0.000429
20000428,-0.05953,-0.088504
20000531,-0.038871,-0.057324
20000630,0.051597,0.079228
20000731,-0.017712,-0.019354
20000831,0.075007,0.059257
20000929,-0.051145,-0.040102
20001031,-0.024492,-0.066807
20001130,-0.102371,-0.118559
20001229,0.020426,-0.007035
20010131,0.039599,0.225012
20010228,-0.099099,-0.074508
20010330,-0.07039,-0.072696
20010430,0.083831,0.076441
20010531,0.010458,0.062201
20010629,-0.017554,0.00772
20010731,-0.018294,-0.028407
20010831,-0.05898,-0.035009
20010928,-0.091488,-0.127801
20011031,0.027833,0.078105
20011130,0.07878,0.08081
20011231,0.017848,0.057742
20020131,-0.015977,0.018178
20020228,-0.021695,-0.03306
20020328,0.044682,0.074666
20020430,-0.049617,-0.003169
20020531,-0.010523,-0.015518
20020628,-0.070249,-0.067318
20020731,-0.081152,-0.107499
20020830,0.007979,0.006337
20020930,-0.09992,-0.08449
20021031,0.074923,0.042773
20021129,0.061271,0.117775
20021231,-0.053313,-0.040159
20030131,-0.023392,0.006068
20030228,-0.01539,-0.021448
20030331,0.010325,0.009434
20030430,0.082762,0.098222
20030530,0.063471,0.133177
20030630,0.016336,0.049741
20030731,0.023112,0.061927
20030829,0.024966,0.047429
20030930,-0.009112,0.025239
20031031,0.060319,0.08093
20031128,0.016593,0.038147
20031231,0.045489,0.038908
20040130,0.023049,0.065763
20040227,0.015458,0.01372
20040331,-0.010674,0.006293
20040430,-0.024232,-0.04359
20040528,0.014068,0.002592
20040630,0.021578,0.022729
